id,name,type,location,criticality,owner,description,ip_address,os,software,processes,dependencies
IT-01891,Switch - Hambourg,Switch,"Hambourg, Allemagne",medium,Direction IT,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.77.161,Cisco Catalyst 9000,Cisco Catalyst 9000,"Suivi des Cargaisons, Communication Interne, Gestion des Clients",
IT-01892,Poste de Travail - Hambourg,Poste de Travail,"Hambourg, Allemagne",medium,Direction Opérations,Poste de Travail utilisé pour Suivi des Cargaisons. Configuré avec PuTTY.,192.168.21.197,macOS Monterey,PuTTY,"Planification des Itinéraires, Douanes et Réglementations",
IT-01893,Poste de Travail - Santos,Poste de Travail,"Santos, Brésil",medium,Direction Logistique,Poste de Travail utilisé pour Ressources Humaines. Configuré avec Microsoft Office 365.,192.168.219.164,Windows 11 Entreprise,Microsoft Office 365,"Analyse des Risques, Approvisionnement",
IT-01894,Terminal d'Impression - Rotterdam,Terminal d'Impression,"Rotterdam, Pays-Bas",medium,Direction Logistique,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.238.243,N/A,Firmware Xerox v5.2,"Sécurité et Conformité, Ressources Humaines","IT-00474, IT-00754"
IT-01895,Poste de Travail - New York,Poste de Travail,"New York, États-Unis",critical,Direction Logistique,Poste de Travail utilisé pour Analyse des Risques. Configuré avec Microsoft Office 365.,192.168.244.70,macOS Monterey,Microsoft Office 365,Gestion des Équipages,"IT-01553, IT-00362, IT-01534"
IT-01896,Terminal d'Impression - Singapour,Terminal d'Impression,"Singapour, Singapour",medium,Direction Logistique,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.27.248,N/A,Firmware Xerox v5.2,Suivi des Cargaisons,"IT-01176, IT-00689"
IT-01897,Serveur - Santos,Serveur,"Santos, Brésil",medium,Direction RH,Serveur hébergeant des applications critiques pour Gestion des Flottes. Exécute PostgreSQL.,192.168.146.102,Windows Server 2022,SAP ERP,"Planification des Itinéraires, Maintenance des Navires, Approvisionnement","IT-01129, IT-00209, IT-00612"
IT-01898,Serveur de Sauvegarde - Singapour,Serveur de Sauvegarde,"Singapour, Singapour",high,Direction IT,Serveur de Sauvegarde utilisé pour Douanes et Réglementations.,192.168.84.255,N/A,Veeam Backup,Ressources Humaines,IT-00256
IT-01899,Équipement Réseau - Singapour,Équipement Réseau,"Singapour, Singapour",medium,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.75.225,FortiOS 7.4,Cisco IOS,"Analyse des Risques, Sécurité et Conformité",
IT-01900,Serveur - Los Angeles,Serveur,"Los Angeles, États-Unis",high,Direction IT,Serveur hébergeant des applications critiques pour Douanes et Réglementations. Exécute Oracle Database.,192.168.114.149,Windows Server 2022,Oracle Database,"Gestion des Stocks, Gestion des Réservations",IT-00047
IT-01901,Serveur - Dubaï,Serveur,"Dubaï, Émirats Arabes Unis",critical,Direction IT,Serveur hébergeant des applications critiques pour Communication Interne. Exécute PostgreSQL.,192.168.70.10,Linux (Ubuntu 20.04),Oracle Database,"Finance et Comptabilité, Approvisionnement, Ressources Humaines","IT-00267, IT-00334, IT-01529"
IT-01902,Poste de Travail - Shanghai,Poste de Travail,"Shanghai, Chine",high,Direction Opérations,Poste de Travail utilisé pour Gestion des Clients. Configuré avec Microsoft Office 365.,192.168.24.207,macOS Monterey,PuTTY,"Gestion des Clients, Analyse des Risques, Communication Interne",
IT-01903,Serveur Applicatif - Le Havre,Serveur Applicatif,"Le Havre, France",medium,Direction Financière,Serveur Applicatif hébergeant des applications critiques pour Sécurité et Conformité. Exécute Docker.,192.168.225.95,N/A,Docker,"Gestion des Clients, Communication Interne",IT-00815
IT-01904,Serveur de Fichiers - Amsterdam,Serveur de Fichiers,"Amsterdam, Pays-Bas",medium,Direction Opérations,Serveur de Fichiers utilisé pour Gestion des Réservations.,192.168.191.152,N/A,Samba,Sécurité et Conformité,"IT-00726, IT-00022, IT-00772"
IT-01905,Station de Travail - Dubaï,Station de Travail,"Dubaï, Émirats Arabes Unis",low,Direction Logistique,Station de Travail utilisé pour Douanes et Réglementations.,192.168.66.176,N/A,N/A,Sécurité et Conformité,"IT-01304, IT-01753, IT-01473"
IT-01906,Serveur de Sauvegarde - Santos,Serveur de Sauvegarde,"Santos, Brésil",medium,Direction Opérations,Serveur de Sauvegarde utilisé pour Gestion des Stocks.,192.168.99.97,N/A,Veeam Backup,Gestion des Clients,IT-01287
IT-01907,Routeur - Busan,Routeur,"Busan, Corée du Sud",critical,Direction Opérations,Routeur assurant la connectivité du réseau. Modèle: Cisco 4000 Series.,192.168.49.205,Cisco IOS,Cisco 4000 Series,"Analyse des Risques, Suivi des Cargaisons, Approvisionnement",
IT-01908,Serveur Applicatif - Amsterdam,Serveur Applicatif,"Amsterdam, Pays-Bas",high,Direction Opérations,Serveur Applicatif hébergeant des applications critiques pour Sécurité et Conformité. Exécute Custom TMS.,192.168.196.129,N/A,Custom TMS,"Gestion des Équipages, Gestion des Clients, Finance et Comptabilité",IT-00819
IT-01909,Serveur de Fichiers - Rio de Janeiro,Serveur de Fichiers,"Rio de Janeiro, Brésil",medium,Direction Financière,Serveur de Fichiers utilisé pour Finance et Comptabilité.,192.168.237.198,N/A,Samba,Gestion des Équipages,IT-00562
IT-01910,Poste de Travail - Nantes,Poste de Travail,"Nantes, France",low,Direction Financière,Poste de Travail utilisé pour Douanes et Réglementations. Configuré avec Microsoft Office 365.,192.168.149.175,Windows 11 Entreprise,PuTTY,Analyse des Risques,
IT-01911,Équipement Réseau - Rio de Janeiro,Équipement Réseau,"Rio de Janeiro, Brésil",medium,Direction RH,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.110.8,FortiOS 7.4,Cisco IOS,Maintenance des Navires,IT-00938
IT-01912,Terminal d'Impression - Shanghai,Terminal d'Impression,"Shanghai, Chine",high,Direction Logistique,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.41.168,N/A,Firmware Xerox v5.2,"Planification des Itinéraires, Douanes et Réglementations, Communication Interne","IT-00182, IT-01452, IT-01503"
IT-01913,Serveur Web - Dubaï,Serveur Web,"Dubaï, Émirats Arabes Unis",medium,Direction IT,Serveur Web utilisé pour Gestion des Réservations.,192.168.187.251,N/A,Nginx,"Gestion des Réservations, Suivi des Cargaisons","IT-00234, IT-01672"
IT-01914,Imprimante Réseau - Dubaï,Imprimante Réseau,"Dubaï, Émirats Arabes Unis",medium,Direction Opérations,Imprimante Réseau utilisé pour Gestion des Stocks.,192.168.53.84,N/A,N/A,"Approvisionnement, Analyse des Risques","IT-01851, IT-01133, IT-00558"
IT-01915,Serveur de Sauvegarde - Singapour,Serveur de Sauvegarde,"Singapour, Singapour",medium,Direction RH,Serveur de Sauvegarde utilisé pour Gestion des Réservations.,192.168.123.137,N/A,Veeam Backup,Douanes et Réglementations,"IT-00346, IT-00012, IT-00230"
IT-01916,Switch - Amsterdam,Switch,"Amsterdam, Pays-Bas",medium,Direction Opérations,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.255.208,Cisco Catalyst 9000,Cisco Catalyst 9000,Maintenance des Navires,"IT-01659, IT-01659, IT-00086"
IT-01917,Terminal d'Impression - Shanghai,Terminal d'Impression,"Shanghai, Chine",medium,Direction Opérations,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.240.175,N/A,Firmware Xerox v5.2,"Analyse des Risques, Ressources Humaines, Suivi des Cargaisons",IT-01757
IT-01918,Pare-feu - Busan,Pare-feu,"Busan, Corée du Sud",low,Direction RH,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.119.42,FortiOS 7.4,FortiGate 2000E,"Gestion des Flottes, Analyse des Risques, Gestion des Équipages",IT-00454
IT-01919,Serveur de Fichiers - Busan,Serveur de Fichiers,"Busan, Corée du Sud",high,Direction Opérations,Serveur de Fichiers utilisé pour Gestion des Réservations.,192.168.38.77,N/A,Samba,"Douanes et Réglementations, Suivi des Cargaisons",IT-01691
IT-01920,Routeur - Yokohama,Routeur,"Yokohama, Japon",medium,Direction IT,Routeur assurant la connectivité du réseau. Modèle: Cisco 4000 Series.,192.168.69.65,Cisco IOS,Cisco 4000 Series,"Ressources Humaines, Sécurité et Conformité, Gestion des Clients",IT-00696
IT-01921,Station de Travail - Yokohama,Station de Travail,"Yokohama, Japon",medium,Direction Opérations,Station de Travail utilisé pour Communication Interne.,192.168.107.178,N/A,N/A,Communication Interne,"IT-01618, IT-00908"
IT-01922,Scanneur de Code-Barre - Tokyo,Scanneur de Code-Barre,"Tokyo, Japon",low,Direction RH,Scanneur de Code-Barre utilisé pour Approvisionnement.,N/A,N/A,Zebra DS9908,"Communication Interne, Gestion des Clients, Douanes et Réglementations","IT-00017, IT-00381"
IT-01923,Douchette de Lecture - Nantes,Douchette de Lecture,"Nantes, France",critical,Direction Financière,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,Maintenance des Navires,IT-00397
IT-01924,Pare-feu - Dubaï,Pare-feu,"Dubaï, Émirats Arabes Unis",medium,Direction Financière,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.71.76,FortiOS 7.4,FortiGate 2000E,Douanes et Réglementations,"IT-01070, IT-01468"
IT-01925,Portique Numérique - Houston,Portique Numérique,"Houston, États-Unis",medium,Direction Logistique,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.55.214,Embedded Linux,Système de Contrôle Kalmar,Gestion des Équipages,"IT-01426, IT-01797"
IT-01926,Portique Numérique - Los Angeles,Portique Numérique,"Los Angeles, États-Unis",low,Direction Logistique,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.249.96,Embedded Linux,Système de Contrôle Kalmar,"Suivi des Cargaisons, Douanes et Réglementations","IT-00709, IT-01236, IT-00828"
IT-01927,Serveur Applicatif - Tokyo,Serveur Applicatif,"Tokyo, Japon",low,Direction Logistique,Serveur Applicatif hébergeant des applications critiques pour Douanes et Réglementations. Exécute Docker.,192.168.42.21,N/A,Custom TMS,Douanes et Réglementations,IT-00725
IT-01928,Serveur - Amsterdam,Serveur,"Amsterdam, Pays-Bas",low,Direction RH,Serveur hébergeant des applications critiques pour Ressources Humaines. Exécute SAP ERP.,192.168.30.2,Linux (Ubuntu 20.04),Oracle Database,"Gestion des Clients, Analyse des Risques, Maintenance des Navires",
IT-01929,Pare-feu - Shanghai,Pare-feu,"Shanghai, Chine",high,Direction IT,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.248.80,FortiOS 7.4,FortiGate 2000E,Gestion des Équipages,IT-00198
IT-01930,Serveur Applicatif - Tokyo,Serveur Applicatif,"Tokyo, Japon",medium,Direction IT,Serveur Applicatif hébergeant des applications critiques pour Gestion des Réservations. Exécute Docker.,192.168.15.155,N/A,Custom TMS,"Gestion des Équipages, Analyse des Risques",
IT-01931,Serveur Web - Hambourg,Serveur Web,"Hambourg, Allemagne",high,Direction Opérations,Serveur Web utilisé pour Finance et Comptabilité.,192.168.179.13,N/A,Apache HTTP Server,"Suivi des Cargaisons, Gestion des Réservations, Gestion des Clients",
IT-01932,Équipement Réseau - Hambourg,Équipement Réseau,"Hambourg, Allemagne",high,Direction Logistique,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.112.113,Cisco IOS,Cisco IOS,"Suivi des Cargaisons, Gestion des Flottes, Gestion des Stocks",IT-00722
IT-01933,Terminal d'Impression - Tokyo,Terminal d'Impression,"Tokyo, Japon",medium,Direction RH,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.46.17,N/A,Firmware Xerox v5.2,"Gestion des Stocks, Douanes et Réglementations, Communication Interne",IT-01513
IT-01934,Portique Numérique - Hambourg,Portique Numérique,"Hambourg, Allemagne",high,Direction Financière,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.132.26,Embedded Linux,Système de Contrôle Kalmar,"Finance et Comptabilité, Gestion des Stocks, Planification des Itinéraires",IT-01423
IT-01935,Imprimante Réseau - New York,Imprimante Réseau,"New York, États-Unis",critical,Direction Financière,Imprimante Réseau utilisé pour Suivi des Cargaisons.,192.168.107.111,N/A,N/A,Suivi des Cargaisons,"IT-00175, IT-00981, IT-01812"
IT-01936,Équipement Réseau - Tokyo,Équipement Réseau,"Tokyo, Japon",medium,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.7.193,Cisco IOS,Cisco IOS,Gestion des Équipages,IT-01366
IT-01937,Serveur Web - Yokohama,Serveur Web,"Yokohama, Japon",medium,Direction Logistique,Serveur Web utilisé pour Planification des Itinéraires.,192.168.170.12,N/A,Apache HTTP Server,Gestion des Réservations,"IT-00267, IT-01145, IT-01043"
IT-01938,Serveur Applicatif - Ningbo,Serveur Applicatif,"Ningbo, Chine",low,Direction RH,Serveur Applicatif hébergeant des applications critiques pour Gestion des Flottes. Exécute Docker.,192.168.74.130,N/A,Docker,"Sécurité et Conformité, Douanes et Réglementations, Finance et Comptabilité","IT-01294, IT-01432"
IT-01939,Imprimante Réseau - Rotterdam,Imprimante Réseau,"Rotterdam, Pays-Bas",high,Direction Opérations,Imprimante Réseau utilisé pour Maintenance des Navires.,192.168.107.87,N/A,N/A,"Gestion des Stocks, Gestion des Flottes, Ressources Humaines",
IT-01940,Serveur de Sauvegarde - Dubaï,Serveur de Sauvegarde,"Dubaï, Émirats Arabes Unis",high,Direction Logistique,Serveur de Sauvegarde utilisé pour Ressources Humaines.,192.168.83.151,N/A,Veeam Backup,Finance et Comptabilité,IT-01358
IT-01941,Serveur de Sauvegarde - Tokyo,Serveur de Sauvegarde,"Tokyo, Japon",low,Direction Opérations,Serveur de Sauvegarde utilisé pour Maintenance des Navires.,192.168.92.248,N/A,Veeam Backup,"Gestion des Réservations, Communication Interne, Finance et Comptabilité","IT-01823, IT-00347"
IT-01942,Serveur de Bases de Données - Singapour,Serveur de Bases de Données,"Singapour, Singapour",medium,Direction IT,Serveur de Bases de Données hébergeant des applications critiques pour Analyse des Risques. Stocke les données des clients. Capacité: 9 To.,192.168.201.208,N/A,Oracle Database 19c,"Approvisionnement, Gestion des Stocks","IT-01656, IT-01381, IT-00698"
IT-01943,Serveur de Sauvegarde - Dubaï,Serveur de Sauvegarde,"Dubaï, Émirats Arabes Unis",medium,Direction Opérations,Serveur de Sauvegarde utilisé pour Gestion des Clients.,192.168.8.114,N/A,Veeam Backup,Gestion des Équipages,"IT-01113, IT-00890"
IT-01944,Serveur Applicatif - Shenzhen,Serveur Applicatif,"Shenzhen, Chine",low,Direction RH,Serveur Applicatif hébergeant des applications critiques pour Maintenance des Navires. Exécute Docker.,192.168.125.111,N/A,Custom TMS,"Douanes et Réglementations, Gestion des Stocks",
IT-01945,Douchette de Lecture - Singapour,Douchette de Lecture,"Singapour, Singapour",high,Direction Logistique,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,"Analyse des Risques, Gestion des Équipages, Suivi des Cargaisons","IT-00693, IT-01885"
IT-01946,Serveur de Bases de Données - Shanghai,Serveur de Bases de Données,"Shanghai, Chine",high,Direction RH,Serveur de Bases de Données hébergeant des applications critiques pour Gestion des Clients. Stocke les données des clients. Capacité: 10 To.,192.168.42.208,N/A,Oracle Database 19c,"Gestion des Stocks, Communication Interne",IT-00747
IT-01947,Serveur - Singapour,Serveur,"Singapour, Singapour",critical,Direction RH,Serveur hébergeant des applications critiques pour Gestion des Équipages. Exécute PostgreSQL.,192.168.213.93,Linux (Ubuntu 20.04),SAP ERP,"Gestion des Clients, Gestion des Stocks, Analyse des Risques","IT-01939, IT-00728, IT-01101"
IT-01948,Équipement Réseau - Le Havre,Équipement Réseau,"Le Havre, France",critical,Direction IT,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.123.170,Cisco IOS,Cisco IOS,"Finance et Comptabilité, Analyse des Risques, Gestion des Clients","IT-01677, IT-01034, IT-00567"
IT-01949,Équipement Réseau - Shanghai,Équipement Réseau,"Shanghai, Chine",medium,Direction Financière,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.157.136,FortiOS 7.4,Cisco IOS,Approvisionnement,
IT-01950,Serveur de Bases de Données - Dubaï,Serveur de Bases de Données,"Dubaï, Émirats Arabes Unis",low,Direction IT,Serveur de Bases de Données hébergeant des applications critiques pour Finance et Comptabilité. Stocke les données des clients. Capacité: 3 To.,192.168.57.198,N/A,Oracle Database 19c,Approvisionnement,
IT-01951,Serveur de Fichiers - Singapour,Serveur de Fichiers,"Singapour, Singapour",critical,Direction Logistique,Serveur de Fichiers utilisé pour Gestion des Stocks.,192.168.231.44,N/A,Samba,Communication Interne,"IT-00731, IT-01331, IT-01362"
IT-01952,Station de Travail - Singapour,Station de Travail,"Singapour, Singapour",critical,Direction Opérations,Station de Travail utilisé pour Approvisionnement.,192.168.241.212,N/A,N/A,"Approvisionnement, Gestion des Réservations, Sécurité et Conformité","IT-01228, IT-00540, IT-01125"
IT-01953,Poste de Travail Portable - Rio de Janeiro,Poste de Travail Portable,"Rio de Janeiro, Brésil",medium,Direction Opérations,Poste de Travail Portable utilisé pour Analyse des Risques. Configuré avec Microsoft Office 365.,192.168.233.167,Windows 11 Entreprise,Microsoft Office 365,"Suivi des Cargaisons, Analyse des Risques, Sécurité et Conformité",
IT-01954,Scanneur de Code-Barre - Rotterdam,Scanneur de Code-Barre,"Rotterdam, Pays-Bas",medium,Direction IT,Scanneur de Code-Barre utilisé pour Douanes et Réglementations.,N/A,N/A,Zebra DS9908,"Suivi des Cargaisons, Communication Interne, Ressources Humaines","IT-01116, IT-00079"
IT-01955,Station de Travail - Dunkerque,Station de Travail,"Dunkerque, France",high,Direction Opérations,Station de Travail utilisé pour Gestion des Réservations.,192.168.24.235,N/A,N/A,"Gestion des Flottes, Gestion des Réservations","IT-01054, IT-00257"
IT-01956,Serveur - Busan,Serveur,"Busan, Corée du Sud",low,Direction Financière,Serveur hébergeant des applications critiques pour Suivi des Cargaisons. Exécute Oracle Database.,192.168.142.204,Windows Server 2022,SAP ERP,Maintenance des Navires,"IT-01163, IT-01207, IT-00964"
IT-01957,Poste de Travail Portable - New York,Poste de Travail Portable,"New York, États-Unis",medium,Direction RH,Poste de Travail Portable utilisé pour Sécurité et Conformité. Configuré avec Microsoft Office 365.,192.168.225.105,Windows 11 Entreprise,Microsoft Office 365,"Approvisionnement, Ressources Humaines","IT-00143, IT-00871, IT-01151"
IT-01958,Routeur - New York,Routeur,"New York, États-Unis",medium,Direction IT,Routeur assurant la connectivité du réseau. Modèle: Cisco 4000 Series.,192.168.34.151,Cisco IOS,Cisco 4000 Series,Ressources Humaines,"IT-00947, IT-00283"
IT-01959,Portique Numérique - Brême,Portique Numérique,"Brême, Allemagne",medium,Direction IT,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.130.12,Embedded Linux,Système de Contrôle Kalmar,"Approvisionnement, Finance et Comptabilité, Gestion des Clients",
IT-01960,Serveur de Fichiers - Rio de Janeiro,Serveur de Fichiers,"Rio de Janeiro, Brésil",high,Direction Logistique,Serveur de Fichiers utilisé pour Gestion des Réservations.,192.168.149.124,N/A,Samba,"Planification des Itinéraires, Gestion des Réservations","IT-01562, IT-00468, IT-01318"
IT-01961,Portique Numérique - Busan,Portique Numérique,"Busan, Corée du Sud",high,Direction IT,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.183.191,Embedded Linux,Système de Contrôle Kalmar,Sécurité et Conformité,
IT-01962,Douchette de Lecture - Nantes,Douchette de Lecture,"Nantes, France",low,Direction RH,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,Suivi des Cargaisons,"IT-00639, IT-01695, IT-00854"
IT-01963,Serveur Web - Hambourg,Serveur Web,"Hambourg, Allemagne",medium,Direction IT,Serveur Web utilisé pour Gestion des Stocks.,192.168.125.138,N/A,Nginx,Communication Interne,
IT-01964,Terminal d'Impression - Dubaï,Terminal d'Impression,"Dubaï, Émirats Arabes Unis",low,Direction Logistique,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.253.221,N/A,Firmware Xerox v5.2,"Gestion des Flottes, Maintenance des Navires",IT-00673
IT-01965,Douchette de Lecture - Shenzhen,Douchette de Lecture,"Shenzhen, Chine",medium,Direction RH,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,"Gestion des Réservations, Ressources Humaines",IT-00133
IT-01966,Station de Travail - Dunkerque,Station de Travail,"Dunkerque, France",medium,Direction RH,Station de Travail utilisé pour Maintenance des Navires.,192.168.10.202,N/A,N/A,"Planification des Itinéraires, Sécurité et Conformité",IT-00384
IT-01967,Portique Numérique - Marseille,Portique Numérique,"Marseille, France",medium,Direction RH,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.180.189,Embedded Linux,Système de Contrôle Kalmar,"Planification des Itinéraires, Communication Interne, Ressources Humaines","IT-00879, IT-00151"
IT-01968,Serveur Web - Yokohama,Serveur Web,"Yokohama, Japon",medium,Direction Financière,Serveur Web utilisé pour Gestion des Équipages.,192.168.86.228,N/A,Apache HTTP Server,Finance et Comptabilité,"IT-01504, IT-01963"
IT-01969,Équipement Réseau - Yokohama,Équipement Réseau,"Yokohama, Japon",high,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.94.145,Cisco IOS,Cisco IOS,Maintenance des Navires,IT-00883
IT-01970,Pare-feu - Houston,Pare-feu,"Houston, États-Unis",critical,Direction Logistique,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.208.37,FortiOS 7.4,FortiGate 2000E,"Analyse des Risques, Gestion des Réservations, Gestion des Stocks",
IT-01971,Serveur de Fichiers - Dunkerque,Serveur de Fichiers,"Dunkerque, France",medium,Direction IT,Serveur de Fichiers utilisé pour Gestion des Flottes.,192.168.183.250,N/A,Samba,"Sécurité et Conformité, Finance et Comptabilité","IT-01735, IT-00649, IT-01366"
IT-01972,Scanneur de Code-Barre - Brême,Scanneur de Code-Barre,"Brême, Allemagne",high,Direction RH,Scanneur de Code-Barre utilisé pour Gestion des Réservations.,N/A,N/A,Zebra DS9908,"Communication Interne, Gestion des Flottes",IT-01570
IT-01973,Serveur de Fichiers - Rotterdam,Serveur de Fichiers,"Rotterdam, Pays-Bas",high,Direction IT,Serveur de Fichiers utilisé pour Maintenance des Navires.,192.168.194.21,N/A,Samba,"Gestion des Équipages, Ressources Humaines","IT-00773, IT-00791"
IT-01974,Équipement Réseau - Shanghai,Équipement Réseau,"Shanghai, Chine",high,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.112.147,FortiOS 7.4,Cisco IOS,"Finance et Comptabilité, Gestion des Réservations, Gestion des Équipages",
IT-01975,Station de Travail - New York,Station de Travail,"New York, États-Unis",medium,Direction Financière,Station de Travail utilisé pour Gestion des Équipages.,192.168.90.148,N/A,N/A,"Planification des Itinéraires, Gestion des Clients, Finance et Comptabilité",
IT-01976,Serveur de Fichiers - New York,Serveur de Fichiers,"New York, États-Unis",low,Direction RH,Serveur de Fichiers utilisé pour Approvisionnement.,192.168.10.141,N/A,Samba,Approvisionnement,IT-01814
IT-01977,Imprimante Réseau - Hambourg,Imprimante Réseau,"Hambourg, Allemagne",high,Direction Financière,Imprimante Réseau utilisé pour Planification des Itinéraires.,192.168.8.63,N/A,N/A,Ressources Humaines,"IT-01812, IT-00561, IT-01145"
IT-01978,Serveur de Fichiers - Shenzhen,Serveur de Fichiers,"Shenzhen, Chine",medium,Direction IT,Serveur de Fichiers utilisé pour Gestion des Stocks.,192.168.247.19,N/A,Samba,"Gestion des Équipages, Gestion des Clients","IT-01741, IT-01565, IT-01101"
IT-01979,Poste de Travail Portable - Santos,Poste de Travail Portable,"Santos, Brésil",high,Direction RH,Poste de Travail Portable utilisé pour Gestion des Réservations. Configuré avec Microsoft Office 365.,192.168.181.74,Windows 11 Entreprise,Microsoft Office 365,"Communication Interne, Gestion des Réservations",IT-01629
IT-01980,Poste de Travail Portable - Dunkerque,Poste de Travail Portable,"Dunkerque, France",low,Direction IT,Poste de Travail Portable utilisé pour Planification des Itinéraires. Configuré avec Microsoft Office 365.,192.168.64.99,Windows 11 Entreprise,Microsoft Office 365,"Suivi des Cargaisons, Gestion des Clients",
IT-01981,Équipement Réseau - Shanghai,Équipement Réseau,"Shanghai, Chine",critical,Direction IT,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.86.5,Cisco IOS,Cisco IOS,"Douanes et Réglementations, Communication Interne","IT-01075, IT-00938, IT-00220"
IT-01982,Serveur Web - Houston,Serveur Web,"Houston, États-Unis",high,Direction Logistique,Serveur Web utilisé pour Gestion des Équipages.,192.168.65.134,N/A,Apache HTTP Server,"Sécurité et Conformité, Gestion des Clients, Planification des Itinéraires","IT-00112, IT-00611, IT-00821"
IT-01983,Serveur Web - Dubaï,Serveur Web,"Dubaï, Émirats Arabes Unis",high,Direction Financière,Serveur Web utilisé pour Gestion des Clients.,192.168.123.232,N/A,Apache HTTP Server,"Approvisionnement, Sécurité et Conformité, Suivi des Cargaisons","IT-00791, IT-00976, IT-00356"
IT-01984,Imprimante Réseau - Busan,Imprimante Réseau,"Busan, Corée du Sud",high,Direction Financière,Imprimante Réseau utilisé pour Gestion des Réservations.,192.168.251.232,N/A,N/A,"Gestion des Réservations, Gestion des Flottes, Planification des Itinéraires",IT-01170
IT-01985,Poste de Travail - Dubaï,Poste de Travail,"Dubaï, Émirats Arabes Unis",medium,Direction Logistique,Poste de Travail utilisé pour Analyse des Risques. Configuré avec PuTTY.,192.168.32.81,Windows 11 Entreprise,PuTTY,"Douanes et Réglementations, Gestion des Flottes, Gestion des Clients",
IT-01986,Portique Numérique - Rotterdam,Portique Numérique,"Rotterdam, Pays-Bas",critical,Direction Logistique,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.71.187,Embedded Linux,Système de Contrôle Kalmar,"Approvisionnement, Gestion des Équipages",
IT-01987,Portique Numérique - Rio de Janeiro,Portique Numérique,"Rio de Janeiro, Brésil",medium,Direction IT,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.78.234,Embedded Linux,Système de Contrôle Kalmar,"Ressources Humaines, Maintenance des Navires, Planification des Itinéraires",IT-00430
IT-01988,Routeur - Singapour,Routeur,"Singapour, Singapour",high,Direction IT,Routeur assurant la connectivité du réseau. Modèle: Cisco 4000 Series.,192.168.11.73,Cisco IOS,Cisco 4000 Series,"Sécurité et Conformité, Analyse des Risques, Maintenance des Navires",
IT-01989,Scanneur de Code-Barre - Singapour,Scanneur de Code-Barre,"Singapour, Singapour",medium,Direction RH,Scanneur de Code-Barre utilisé pour Maintenance des Navires.,N/A,N/A,Zebra DS9908,"Suivi des Cargaisons, Gestion des Clients","IT-01812, IT-01400, IT-01223"
IT-01990,Serveur - Rotterdam,Serveur,"Rotterdam, Pays-Bas",high,Direction RH,Serveur hébergeant des applications critiques pour Analyse des Risques. Exécute PostgreSQL.,192.168.25.16,Windows Server 2022,SAP ERP,"Ressources Humaines, Approvisionnement, Suivi des Cargaisons","IT-00370, IT-01350"
